milb_id,mlb_id,mlb,war,draft,bats,throws,height,weight,positions,designated,first,second,third,shortstop,catcher,outfielder
smith011tho,none,0,nan,7.0,both,right,74.0,200.0,Outfielder,0,0,0,0,0,0,1
vaughn001cli,none,0,nan,8.0,right,right,76.0,225.0,First Baseman,0,1,0,0,0,0,0
myers001gre,myersgr01,1,7.4,3.0,left,right,73.0,200.0,Catcher,0,0,0,0,0,1,0
booth001ste,none,0,nan,9.0,right,right,73.0,190.0,Catcher and First Baseman,0,1,0,0,0,1,0
oconne001jus,none,0,nan,1.0,right,right,72.0,190.0,Catcher and Designated Hitter,1,0,0,0,0,1,0
sanay000osc,none,0,nan,nan,right,right,67.0,185.0,Second Baseman and Shortstop,0,0,1,0,1,0,0
katoh000gos,none,0,nan,2.0,left,right,74.0,180.0,"Second Baseman, Third Baseman and First Baseman",0,1,1,1,0,0,0
rosari001vic,none,0,nan,8.0,right,right,69.0,180.0,Outfielder,0,0,0,0,0,0,1
ramsay001jam,none,0,nan,7.0,left,left,71.0,200.0,Outfielder,0,0,0,0,0,0,1
patter001tar,none,0,nan,35.0,right,right,67.0,168.0,Outfielder,0,0,0,0,0,0,1
nolasc001reg,none,0,nan,nan,right,right,72.0,150.0,Second Baseman and Shortstop,0,0,1,0,1,0,0
heffer002ber,heffebe01,1,-0.3,9.0,left,right,70.0,185.0,Catcher,0,0,0,0,0,1,0
schnei001dan,none,0,nan,36.0,right,right,74.0,195.0,Catcher,0,0,0,0,0,1,0
yount001aus,none,0,nan,12.0,left,right,72.0,185.0,Third Baseman and Catcher,0,0,0,1,0,1,0
hansen001kev,none,0,nan,nan,right,right,70.0,175.0,"Second Baseman, Shortstop and Third Baseman",0,0,1,1,1,0,0
hudgso001max,none,0,nan,nan,both,right,71.0,160.0,Outfielder,0,0,0,0,0,0,1
abreu001adr,none,0,nan,nan,right,right,72.0,185.0,"Catcher, First Baseman and Outfielder",0,1,0,0,0,1,1
wimber001cor,none,0,nan,6.0,both,right,68.0,170.0,"Centerfielder, Second Baseman and Shortstop",0,0,1,0,1,0,0
hernan004jav,none,0,nan,nan,both,right,68.0,165.0,Outfielder,0,0,0,0,0,0,1
thomas002tim,none,0,nan,25.0,right,right,74.0,210.0,First Baseman,0,1,0,0,0,0,0
grimm001eri,none,0,nan,nan,both,right,72.0,185.0,"Second Baseman, Third Baseman and Shortstop",0,0,1,1,1,0,0
laurin000ste,none,0,nan,25.0,right,left,75.0,215.0,First Baseman,0,1,0,0,0,0,0
long001rya,longry01,1,0.0,2.0,right,right,74.0,215.0,Outfielder and Third Baseman,0,0,0,1,0,0,1
conte001nic,none,0,nan,13.0,right,right,70.0,175.0,Catcher,0,0,0,0,0,1,0
furnis001wil,none,0,nan,4.0,left,left,74.0,225.0,First Baseman,0,1,0,0,0,0,0
taylor001gen,none,0,nan,19.0,right,right,74.0,190.0,Outfielder,0,0,0,0,0,0,1
philli001kyl,phillky01,1,0.0,10.0,left,right,73.0,225.0,"Catcher, First Baseman and Third Baseman",0,1,0,1,0,1,0
puesch001cra,none,0,nan,32.0,right,right,75.0,160.0,Outfielder,0,0,0,0,0,0,1
towles001jus,towlejr01,1,0.0,20.0,right,right,74.0,200.0,Catcher,0,0,0,0,0,1,0
datz001jef,datzje01,1,0.1,19.0,right,right,76.0,220.0,Catcher,0,0,0,0,0,1,0
timmon001jef,none,0,nan,38.0,right,right,73.0,195.0,Catcher and First Baseman,0,1,0,0,0,1,0
toribi001gui,none,0,nan,nan,both,right,72.0,160.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
mcdoug001bra,none,0,nan,39.0,right,right,75.0,180.0,Outfielder and First Baseman,0,1,0,0,0,0,1
massar001mic,none,0,nan,13.0,left,left,71.0,185.0,Outfielder,0,0,0,0,0,0,1
otanez001wil,otanewi01,1,-1.0,nan,right,right,73.0,200.0,"Third Baseman, First Baseman and Outfielder",0,1,0,1,0,0,1
jernig001kar,none,0,nan,22.0,right,right,74.0,190.0,Outfielder,0,0,0,0,0,0,1
scott008jos,none,0,nan,42.0,right,right,72.0,185.0,Shortstop and Second Baseman,0,0,1,0,1,0,0
crespo001ces,crespce01,1,-1.1,3.0,both,right,71.0,170.0,"Outfielder, Second Baseman and Shortstop",0,0,1,0,1,0,1
jackso001mic,none,0,nan,nan,right,right,69.0,165.0,Second Baseman,0,0,1,0,0,0,0
johnso004ada,none,0,nan,55.0,left,left,72.0,185.0,Outfielder and First Baseman,0,1,0,0,0,0,1
shank000zac,none,0,nan,28.0,right,right,73.0,180.0,"Second Baseman, Third Baseman and Outfielder",0,0,1,1,0,0,1
jarvai001kre,none,0,nan,11.0,right,right,74.0,215.0,Catcher,0,0,0,0,0,1,0
langst002jam,none,0,nan,12.0,both,right,75.0,198.0,Third Baseman and Outfielder,0,0,0,1,0,0,1
madris000bli,none,0,nan,9.0,left,right,74.0,200.0,Outfielder and Designated Hitter,1,0,0,0,0,0,1
susdor001ste,susdost01,1,-0.1,19.0,left,left,73.0,195.0,Outfielder and First Baseman,0,1,0,0,0,0,1
stucke001eri,none,0,nan,30.0,right,right,72.0,200.0,Outfielder,0,0,0,0,0,0,1
thigpe000wes,none,0,nan,nan,right,right,72.0,200.0,Catcher,0,0,0,0,0,1,0
christ001ric,none,0,nan,1.0,right,right,72.0,165.0,Outfielder,0,0,0,0,0,0,1
luttic001rob,none,0,nan,2.0,right,right,74.0,186.0,Catcher,0,0,0,0,0,1,0
navarr001rey,navarre01,1,-0.1,3.0,both,right,70.0,185.0,"Second Baseman, Shortstop and Third Baseman",0,0,1,1,1,0,0
rojas001irw,none,0,nan,nan,left,right,73.0,175.0,Catcher,0,0,0,0,0,1,0
alexan000day,none,0,nan,6.0,right,right,73.0,195.0,Outfielder,0,0,0,0,0,0,1
rutled001jos,rutlejo01,1,-1.4,3.0,right,right,73.0,190.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
young002ty,none,0,nan,7.0,left,right,70.0,175.0,"Third Baseman, Outfielder and Second Baseman",0,0,1,1,0,0,1
rodrig003dan,none,0,nan,30.0,right,right,74.0,205.0,Outfielder and First Baseman,0,1,0,0,0,0,1
